row,col,ch,ro,co,koo,p,i,j,out,ref,diff,match
3,2,5,0,0,0,3,2,5,668263,668263,0,1
3,2,6,0,0,0,3,2,6,677835,677835,0,1
3,2,7,0,0,0,3,2,7,749248,749248,0,1
3,2,8,0,0,0,3,2,8,721361,721361,0,1
3,2,9,0,0,0,3,2,9,713249,713249,0,1
3,2,10,0,0,0,3,2,10,719603,719603,0,1
3,2,11,0,0,0,3,2,11,669822,672815,-2993,0
3,2,12,0,0,0,3,2,12,738807,740726,-1919,0
3,2,13,0,0,0,3,2,13,690144,683460,6684,0
3,2,14,0,0,0,3,2,14,694116,690424,3692,0
3,2,15,0,0,0,3,2,15,695988,691230,4758,0
3,3,0,0,0,0,3,3,0,756346,756346,0,1
3,3,1,0,0,0,3,3,1,714499,714499,0,1
3,3,2,0,0,0,3,3,2,720394,720394,0,1
3,3,3,0,0,0,3,3,3,724565,724565,0,1
3,3,4,0,0,0,3,3,4,737908,737908,0,1
3,3,5,0,0,0,3,3,5,692971,692971,0,1
3,3,6,0,0,0,3,3,6,685526,685526,0,1
3,3,7,0,0,0,3,3,7,754211,754211,0,1
3,3,8,0,0,0,3,3,8,714439,714439,0,1
3,3,9,0,0,0,3,3,9,703028,703028,0,1
3,3,10,0,0,0,3,3,10,720897,717449,3448,0
3,3,11,0,0,0,3,3,11,648223,654991,-6768,0
3,3,12,0,0,0,3,3,12,762249,750376,11873,0
3,3,13,0,0,0,3,3,13,698494,699558,-1064,0
3,3,14,0,0,0,3,3,14,681145,693767,-12622,0
3,3,15,0,0,0,3,3,15,720693,721085,-392,0
3,4,0,0,0,0,3,4,0,744454,744454,0,1
3,4,1,0,0,0,3,4,1,726914,726914,0,1
3,4,2,0,0,0,3,4,2,695486,695486,0,1
3,4,3,0,0,0,3,4,3,704084,704084,0,1
3,4,4,0,0,0,3,4,4,720358,720358,0,1
3,4,5,0,0,0,3,4,5,664373,664373,0,1
3,4,6,0,0,0,3,4,6,689447,689447,0,1
3,4,7,0,0,0,3,4,7,772188,772188,0,1
3,4,8,0,0,0,3,4,8,699414,699414,0,1
3,4,9,0,0,0,3,4,9,705878,704635,1243,0
3,4,10,0,0,0,3,4,10,718163,705959,12204,0
3,4,11,0,0,0,3,4,11,681255,682408,-1153,0
3,4,12,0,0,0,3,4,12,717947,718343,-396,0
3,4,13,0,0,0,3,4,13,694088,701771,-7683,0
3,4,14,0,0,0,3,4,14,711033,703855,7178,0
3,4,15,0,0,0,3,4,15,705413,721918,-16505,0
3,5,0,0,0,0,3,5,0,727042,727042,0,1
3,5,1,0,0,0,3,5,1,676473,676473,0,1
3,5,2,0,0,0,3,5,2,675533,675533,0,1
3,5,3,0,0,0,3,5,3,657180,657180,0,1
3,5,4,0,0,0,3,5,4,739456,739456,0,1
3,5,5,0,0,0,3,5,5,677601,677601,0,1
3,5,6,0,0,0,3,5,6,633996,633996,0,1
3,5,7,0,0,0,3,5,7,746898,746898,0,1
3,5,8,0,0,0,3,5,8,699149,699164,-15,0
3,5,9,0,0,0,3,5,9,662792,657898,4894,0
3,5,10,0,0,0,3,5,10,681330,671591,9739,0
3,5,11,0,0,0,3,5,11,676040,662874,13166,0
3,5,12,0,0,0,3,5,12,702992,699429,3563,0
3,5,13,0,0,0,3,5,13,679414,679723,-309,0
3,5,14,0,0,0,3,5,14,672847,681530,-8683,0
3,5,15,0,0,0,3,5,15,701404,686782,14622,0
3,6,0,0,0,0,3,6,0,683907,683907,0,1
3,6,1,0,0,0,3,6,1,653717,653717,0,1
3,6,2,0,0,0,3,6,2,664379,664379,0,1
3,6,3,0,0,0,3,6,3,636736,636736,0,1
3,6,4,0,0,0,3,6,4,659293,659293,0,1
3,6,5,0,0,0,3,6,5,631715,631715,0,1
3,6,6,0,0,0,3,6,6,625343,625343,0,1
3,6,7,0,0,0,3,6,7,692468,696936,-4468,0
3,6,8,0,0,0,3,6,8,646878,647606,-728,0
3,6,9,0,0,0,3,6,9,646961,642349,4612,0
3,6,10,0,0,0,3,6,10,644944,643798,1146,0
3,6,11,0,0,0,3,6,11,628910,634504,-5594,0
3,6,12,0,0,0,3,6,12,661648,666027,-4379,0
3,6,13,0,0,0,3,6,13,640362,642441,-2079,0
3,6,14,0,0,0,3,6,14,640127,630002,10125,0
3,6,15,0,0,0,3,6,15,631097,641641,-10544,0
4,0,0,0,0,0,4,0,0,708542,708542,0,1
4,0,1,0,0,0,4,0,1,714709,714709,0,1
4,0,2,0,0,0,4,0,2,689488,689488,0,1
4,0,3,0,0,0,4,0,3,708982,708982,0,1
4,0,4,0,0,0,4,0,4,717397,717397,0,1
4,0,5,0,0,0,4,0,5,686335,686335,0,1
4,0,6,0,0,0,4,0,6,649256,648643,613,0
4,0,7,0,0,0,4,0,7,748342,746361,1981,0
4,0,8,0,0,0,4,0,8,683688,683658,30,0
4,0,9,0,0,0,4,0,9,692202,689913,2289,0
4,0,10,0,0,0,4,0,10,707867,708464,-597,0
4,0,11,0,0,0,4,0,11,660622,655989,4633,0
4,0,12,0,0,0,4,0,12,725084,740373,-15289,0
4,0,13,0,0,0,4,0,13,665486,678025,-12539,0
4,0,14,0,0,0,4,0,14,678704,688964,-10260,0
4,0,15,0,0,0,4,0,15,700630,695902,4728,0
4,1,0,0,0,0,4,1,0,725191,725191,0,1
4,1,1,0,0,0,4,1,1,694647,694647,0,1
4,1,2,0,0,0,4,1,2,687351,687351,0,1
4,1,3,0,0,0,4,1,3,681174,681174,0,1
4,1,4,0,0,0,4,1,4,696363,696363,0,1
4,1,5,0,0,0,4,1,5,669010,675510,-6500,0
4,1,6,0,0,0,4,1,6,638967,636431,2536,0
4,1,7,0,0,0,4,1,7,713711,707401,6310,0
4,1,8,0,0,0,4,1,8,675629,673881,1748,0
4,1,9,0,0,0,4,1,9,663482,665117,-1635,0
4,1,10,0,0,0,4,1,10,675456,674367,1089,0
4,1,11,0,0,0,4,1,11,643260,638039,5221,0
4,1,12,0,0,0,4,1,12,678766,674993,3773,0
4,1,13,0,0,0,4,1,13,668861,673670,-4809,0
4,1,14,0,0,0,4,1,14,674839,657234,17605,0
4,1,15,0,0,0,4,1,15,671147,671828,-681,0
4,2,0,0,0,0,4,2,0,710422,710422,0,1
4,2,1,0,0,0,4,2,1,702011,702011,0,1
4,2,2,0,0,0,4,2,2,669551,669551,0,1
4,2,3,0,0,0,4,2,3,652625,652625,0,1
4,2,4,0,0,0,4,2,4,716373,715034,1339,0
4,2,5,0,0,0,4,2,5,675538,662900,12638,0
4,2,6,0,0,0,4,2,6,671291,656270,15021,0
4,2,7,0,0,0,4,2,7,705529,710395,-4866,0
4,2,8,0,0,0,4,2,8,678866,671670,7196,0
4,2,9,0,0,0,4,2,9,698135,697737,398,0
4,2,10,0,0,0,4,2,10,706737,696574,10163,0
